index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
19,7.778685,0.255420,0.040849,4648.502,7547.856,3636.736,0.120754,142.652,0.0123,-267.561829,71.887642,-31.234118,103.015480,3.365345,6.161262,20.996353,-1.185598,4.918778,-0.543751,-7.781206,5.786477,-1.497912,unpitched,bright,soft,medium,3,1,1,1,2,3,4,4,5
20,8.034104,0.255420,0.019627,2640.206,5474.328,2960.257,0.079213,,0.0000,-377.212585,148.573441,-34.424240,85.819511,0.307491,-12.644294,19.424816,8.929738,-0.650684,6.332425,-19.216700,0.181367,-2.451614,unpitched,dark,soft,medium,3,0,0,0,0,1,1,3,3
21,8.289524,0.255420,0.037604,1809.488,4580.955,2793.811,0.022886,79.601,0.0111,-364.612000,150.427322,-10.087252,81.840744,1.556784,6.087276,24.472645,22.805143,9.049766,4.330695,-2.616776,-2.330122,2.845385,unpitched,dark,soft,medium,0,0,0,0,0,0,0,0,0
22,8.544943,0.267029,0.023621,2122.526,5500.836,3346.828,0.021790,341.252,0.2050,-397.216522,136.482803,7.355004,52.211273,-32.592834,19.351694,19.080940,23.392057,8.204089,-6.145840,-15.531426,1.347828,-8.356380,unpitched,dark,soft,medium,3,0,0,0,2,1,1,3,3
23,8.811973,0.232200,0.033932,1885.290,4264.600,3185.126,0.020624,171.614,0.0364,-359.312561,153.841019,12.912922,47.978569,-26.490976,17.922361,15.992467,8.923067,-5.176608,-16.529284,-25.354155,1.990824,-10.535118,unpitched,dark,soft,short,3,0,0,0,2,1,1,3,3
24,9.044172,0.255420,0.039847,2079.094,5230.696,3127.829,0.023905,71.121,0.0142,-346.077179,140.124237,-6.375126,77.013786,-3.313791,14.272302,20.267828,20.284117,3.742110,5.888233,-5.568360,4.375345,-1.640688,unpitched,dark,soft,medium,3,0,0,0,0,1,1,3,3
25,9.299592,0.278639,0.036816,2387.999,5830.330,3357.615,0.030625,86.304,0.0139,-344.947723,128.042526,-6.486310,80.986496,-3.880466,16.668682,17.780809,20.431828,5.994962,5.464151,-4.823412,3.735499,-1.981850,unpitched,dark,soft,long,3,0,0,0,2,1,1,3,3
26,9.578231,0.243810,0.031870,2244.308,5825.710,3386.869,0.026523,73.416,0.0225,-332.134033,151.006577,5.907639,49.398808,-36.039001,21.363924,9.256442,12.370920,-3.090898,-17.084087,-19.762524,3.290408,-14.169427,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
27,9.822041,0.267029,0.044431,4308.630,7474.713,3729.813,0.107524,,0.0000,-240.432785,89.479919,-29.961088,80.255440,-17.991722,3.784313,23.205589,11.114577,6.326012,-1.435980,-14.598386,-1.657608,-6.584933,unpitched,bright,soft,medium,3,1,1,1,2,3,4,4,5
28,10.089070,0.243810,0.029263,2597.798,5839.413,3200.577,0.055797,72.155,0.0409,-310.941681,145.666061,-24.619371,64.209831,-31.176851,10.571747,11.533875,21.210569,-5.761410,-1.059414,-20.473345,-1.209056,-5.137447,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
29,10.332880,0.243810,0.045579,2181.613,5372.021,3127.310,0.031924,73.416,0.0106,-298.075592,149.129654,-16.022505,64.035217,-23.179100,23.098097,19.928005,29.465588,4.305945,2.665967,-4.378932,4.095159,0.160728,unpitched,dark,soft,medium,3,0,0,0,2,1,1,1,3
