cluster,attack,decay,attack_exp,decay_exp,offset_ms,enabled
0,0.01,0.6344445,1,1,6.666666,1
1,0.01,0.69,1,1,0.0,1
2,0.01,0.47333336,0,1,54.444443,1
3,0.19999999,0.54999995,0,1,0.0,1
4,0.08,0.7,0,1,0.0,1
5,0.12,0.65,0,1,0.0,1
6,0.16,0.59999996,0,0,0.0,1
7,0.19999999,0.54999995,0,0,0.0,1
