time,division,beat,phase
6.876009,32,16,6
6.926803,32,16,7
6.977596,4,17,0
6.977596,8,17,0
6.977596,16,17,0
6.977596,32,17,0
7.028390,32,17,1
7.079184,16,17,1
7.079184,32,17,2
7.129977,32,17,3
7.180771,8,17,1
7.180771,16,17,2
7.180771,32,17,4
7.231565,32,17,5
7.282358,16,17,3
7.282358,32,17,6
7.333152,32,17,7
7.383946,4,18,0
7.383946,8,18,0
7.383946,16,18,0
7.383946,32,18,0
7.436190,32,18,1
7.488435,16,18,1
7.488435,32,18,2
7.540680,32,18,3
7.592925,8,18,1
7.592925,16,18,2
7.592925,32,18,4
7.645170,32,18,5
7.697415,16,18,3
7.697415,32,18,6
7.749660,32,18,7
7.801905,4,19,0
7.801905,8,19,0
7.801905,16,19,0
7.801905,32,19,0
7.849796,32,19,1
7.897687,16,19,1
7.897687,32,19,2
7.945578,32,19,3
7.993469,8,19,1
7.993469,16,19,2
7.993469,32,19,4
8.041361,32,19,5
8.089252,16,19,3
8.089252,32,19,6
8.137143,32,19,7
8.185034,4,20,0
8.185034,8,20,0
8.185034,16,20,0
8.185034,32,20,0
8.235828,32,20,1
8.286621,16,20,1
8.286621,32,20,2
8.337415,32,20,3
8.388209,8,20,1
8.388209,16,20,2
8.388209,32,20,4
8.439002,32,20,5
8.489796,16,20,3
8.489796,32,20,6
8.540590,32,20,7
8.591383,4,21,0
8.591383,8,21,0
8.591383,16,21,0
8.591383,32,21,0
8.639274,32,21,1
8.687166,16,21,1
8.687166,32,21,2
8.735057,32,21,3
8.782948,8,21,1
8.782948,16,21,2
8.782948,32,21,4
8.830839,32,21,5
8.878730,16,21,3
8.878730,32,21,6
8.926621,32,21,7
8.974512,4,22,0
8.974512,8,22,0
8.974512,16,22,0
8.974512,32,22,0
9.025306,32,22,1
9.076100,16,22,1
9.076100,32,22,2
9.126893,32,22,3
9.177687,8,22,1
9.177687,16,22,2
9.177687,32,22,4
9.228481,32,22,5
9.279274,16,22,3
9.279274,32,22,6
9.330068,32,22,7
9.380862,4,23,0
9.380862,8,23,0
9.380862,16,23,0
9.380862,32,23,0
9.428753,32,23,1
9.476644,16,23,1
9.476644,32,23,2
9.524535,32,23,3
9.572426,8,23,1
9.572426,16,23,2
9.572426,32,23,4
9.620317,32,23,5
9.668209,16,23,3
9.668209,32,23,6
9.716100,32,23,7
9.763991,4,24,0
9.763991,8,24,0
9.763991,16,24,0
9.763991,32,24,0
9.810431,32,24,1
9.856871,16,24,1
9.856871,32,24,2
9.903311,32,24,3
9.949751,8,24,1
9.949751,16,24,2
9.949751,32,24,4
9.996190,32,24,5
10.042630,16,24,3
10.042630,32,24,6
10.089070,32,24,7
10.135510,4,25,0
10.135510,8,25,0
10.135510,16,25,0
10.135510,32,25,0
10.184853,32,25,1
10.234195,16,25,1
10.234195,32,25,2
10.283537,32,25,3
10.332880,8,25,1
10.332880,16,25,2
10.332880,32,25,4
10.382222,32,25,5
10.431565,16,25,3
10.431565,32,25,6
10.480907,32,25,7
10.530249,4,26,0
10.530249,8,26,0
10.530249,16,26,0
10.530249,32,26,0
10.578141,32,26,1
10.626032,16,26,1
10.626032,32,26,2
10.673923,32,26,3
10.721814,8,26,1
10.721814,16,26,2
10.721814,32,26,4
10.769705,32,26,5
10.817596,16,26,3
10.817596,32,26,6
10.865488,32,26,7
10.913379,4,27,0
10.913379,8,27,0
10.913379,16,27,0
10.913379,32,27,0
10.964172,32,27,1
11.014966,16,27,1
11.014966,32,27,2
11.065760,32,27,3
11.116553,8,27,1
11.116553,16,27,2
11.116553,32,27,4
11.167347,32,27,5
11.218141,16,27,3
11.218141,32,27,6
11.268934,32,27,7
11.319728,4,28,0
11.319728,8,28,0
11.319728,16,28,0
11.319728,32,28,0
11.369070,32,28,1
11.418413,16,28,1
11.418413,32,28,2
11.467755,32,28,3
11.517098,8,28,1
11.517098,16,28,2
11.517098,32,28,4
11.566440,32,28,5
11.615782,16,28,3
11.615782,32,28,6
11.665125,32,28,7
11.714467,4,29,0
11.714467,8,29,0
11.714467,16,29,0
11.714467,32,29,0
11.765261,32,29,1
11.816054,16,29,1
11.816054,32,29,2
11.866848,32,29,3
11.917642,8,29,1
11.917642,16,29,2
11.917642,32,29,4
11.968435,32,29,5
12.019229,16,29,3
12.019229,32,29,6
12.070023,32,29,7
12.120816,4,30,0
12.120816,8,30,0
12.120816,16,30,0
12.120816,32,30,0
12.170159,32,30,1
12.219501,16,30,1
12.219501,32,30,2
12.268844,32,30,3
12.318186,8,30,1
12.318186,16,30,2
12.318186,32,30,4
12.367528,32,30,5
12.416871,16,30,3
12.416871,32,30,6
12.466213,32,30,7
12.515556,4,31,0
12.515556,8,31,0
12.515556,16,31,0
12.515556,32,31,0
12.566349,32,31,1
12.617143,16,31,1
12.617143,32,31,2
12.667937,32,31,3
12.718730,8,31,1
12.718730,16,31,2
12.718730,32,31,4
12.769524,32,31,5
12.820317,16,31,3
12.820317,32,31,6
12.871111,32,31,7
12.921905,4,32,0
12.921905,8,32,0
12.921905,16,32,0
12.921905,32,32,0
12.971247,32,32,1
13.020590,16,32,1
13.020590,32,32,2
13.069932,32,32,3
13.119274,8,32,1
13.119274,16,32,2
13.119274,32,32,4
13.168617,32,32,5
13.217959,16,32,3
13.217959,32,32,6
13.267302,32,32,7
13.316644,4,33,0
13.316644,8,33,0
13.316644,16,33,0
13.316644,32,33,0
13.367438,32,33,1
13.418231,16,33,1
13.418231,32,33,2
13.469025,32,33,3
13.519819,8,33,1
13.519819,16,33,2
13.519819,32,33,4
13.570612,32,33,5
13.621406,16,33,3
13.621406,32,33,6
13.672200,32,33,7
13.722993,4,34,0
13.722993,8,34,0
13.722993,16,34,0
13.722993,32,34,0
13.773787,32,34,1
13.824580,16,34,1
13.824580,32,34,2
13.875374,32,34,3
13.926168,8,34,1
13.926168,16,34,2
13.926168,32,34,4
13.976961,32,34,5
14.027755,16,34,3
14.027755,32,34,6
14.078549,32,34,7
14.129342,4,35,0
14.129342,8,35,0
14.129342,16,35,0
14.129342,32,35,0
14.183039,32,35,1
14.236735,16,35,1
14.236735,32,35,2
14.290431,32,35,3
14.344127,8,35,1
14.344127,16,35,2
14.344127,32,35,4
14.397823,32,35,5
14.451519,16,35,3
14.451519,32,35,6
14.505215,32,35,7
14.558912,4,36,0
14.558912,8,36,0
14.558912,16,36,0
14.558912,32,36,0
14.611156,32,36,1
14.663401,16,36,1
14.663401,32,36,2
14.715646,32,36,3
14.767891,8,36,1
14.767891,16,36,2
14.767891,32,36,4
14.820136,32,36,5
14.872381,16,36,3
14.872381,32,36,6
14.924626,32,36,7
14.976871,4,37,0
14.976871,8,37,0
14.976871,16,37,0
14.976871,32,37,0
15.027664,32,37,1
15.078458,16,37,1
15.078458,32,37,2
15.129252,32,37,3
15.180045,8,37,1
15.180045,16,37,2
15.180045,32,37,4
15.230839,32,37,5
15.281633,16,37,3
15.281633,32,37,6
15.332426,32,37,7
15.383220,4,38,0
15.383220,8,38,0
15.383220,16,38,0
15.383220,32,38,0
15.434014,32,38,1
15.484807,16,38,1
15.484807,32,38,2
15.535601,32,38,3
15.586395,8,38,1
15.586395,16,38,2
15.586395,32,38,4
15.637188,32,38,5
15.687982,16,38,3
15.687982,32,38,6
15.738776,32,38,7
15.789569,4,39,0
15.789569,8,39,0
15.789569,16,39,0
15.789569,32,39,0
15.838912,32,39,1
15.888254,16,39,1
15.888254,32,39,2
15.937596,32,39,3
15.986939,8,39,1
15.986939,16,39,2
15.986939,32,39,4
16.036281,32,39,5
16.085624,16,39,3
16.085624,32,39,6
16.134966,32,39,7
16.184308,4,40,0
16.184308,8,40,0
16.184308,16,40,0
16.184308,32,40,0
16.238005,32,40,1
16.291701,16,40,1
16.291701,32,40,2
16.345397,32,40,3
16.399093,8,40,1
16.399093,16,40,2
16.399093,32,40,4
16.452789,32,40,5
16.506485,16,40,3
16.506485,32,40,6
16.560181,32,40,7
16.613878,4,41,0
16.613878,8,41,0
16.613878,16,41,0
16.613878,32,41,0
16.664671,32,41,1
16.715465,16,41,1
16.715465,32,41,2
16.766259,32,41,3
16.817052,8,41,1
16.817052,16,41,2
16.817052,32,41,4
16.867846,32,41,5
16.918639,16,41,3
16.918639,32,41,6
16.969433,32,41,7
17.020227,4,42,0
17.020227,8,42,0
17.020227,16,42,0
