index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster
23,40.878730,0.267029,0.072066,3340.994,6104.663,2666.609,0.102356,,0.0000,-180.421341,159.358414,-95.980080,49.867802,-42.049969,-5.231301,-7.465759,-10.424657,-2.049488,-11.430664,8.382565,0.485942,2.391507,unpitched,mid,medium,medium,4,4
24,41.145760,0.441179,0.081068,1332.216,2424.418,1766.495,0.033729,,0.0000,-305.208221,179.237686,0.048805,35.452106,27.965303,-6.150307,9.691390,6.955049,-4.293161,-2.427815,-3.402339,-4.152273,0.298126,unpitched,dark,medium,long,0,0
25,41.586939,0.371519,0.080391,1549.249,2672.727,1843.765,0.043797,,0.0000,-314.340118,163.750214,-0.224305,38.344421,20.695438,0.912249,16.461594,8.668968,0.975175,1.723594,1.117540,-1.542359,5.479439,unpitched,dark,medium,long,0,0
26,41.958458,0.464399,0.095732,2371.234,4235.043,2169.575,0.074268,,0.0000,-231.379120,158.902924,-36.733395,35.799824,-10.840319,-4.853897,3.037208,-0.923096,2.886361,-5.154390,7.456820,-1.940471,-0.367377,unpitched,mid,medium,long,0,0
27,42.422857,0.104490,0.018965,3044.530,5475.894,2718.876,0.080127,,0.0000,-323.939148,148.454178,-84.092865,79.823669,8.189230,15.589511,11.641291,-4.094146,10.896143,2.533743,7.311023,-3.084504,5.409759,unpitched,mid,soft,short,3,3
28,42.527347,0.139320,0.152546,579.719,665.873,1563.025,0.008301,,0.0000,-357.133911,190.141266,64.583000,41.432495,24.142290,4.583413,12.679556,18.016743,8.906565,2.717407,-1.529247,-3.105571,1.858875,unpitched,dark,loud,short,0,0
29,42.666667,0.050000,0.029153,1978.180,2988.809,2836.354,0.017090,,0.0000,-335.693298,161.222885,-23.781225,47.939716,11.668297,9.534786,10.625654,2.538706,4.033248,0.823504,7.315610,0.138155,1.566640,unpitched,dark,soft,short,0,3
30,42.701497,0.336689,0.096373,1482.801,2380.854,1806.542,0.045882,,0.0000,-300.257507,164.967194,0.627333,40.275715,20.558941,-0.951693,16.288105,10.501920,2.950568,2.893653,2.314836,-1.014815,4.814622,unpitched,dark,medium,long,0,0
31,43.038186,0.290249,0.066841,3220.995,5985.402,2626.309,0.100041,,0.0000,-204.224716,168.174408,-97.302490,54.052517,-41.089493,-7.305198,-2.448903,-10.631601,7.209829,-12.171341,12.881209,-2.775900,2.563727,unpitched,mid,medium,long,4,4
32,43.328435,0.185760,0.047992,2171.594,4086.242,2020.649,0.059656,,0.0000,-259.807068,211.639236,-98.148933,54.066120,14.593124,-15.822654,9.921322,-9.298774,-2.859187,-13.566955,2.076163,-7.037926,-5.567661,unpitched,mid,soft,medium,1,1
33,43.514195,0.255420,0.101311,784.750,1298.546,1631.249,0.012483,,0.0000,-349.872101,180.225006,39.442860,31.313400,25.485132,0.346177,8.244171,11.719051,2.395220,7.816362,8.183702,1.293652,3.712344,unpitched,dark,loud,medium,0,0
34,43.769615,0.359909,0.090065,1554.440,2641.182,1883.557,0.046402,,0.0000,-295.306641,170.160858,-6.535871,33.370625,17.254662,-0.283927,15.016987,6.222060,-0.997640,2.800731,6.333826,2.316609,5.991674,unpitched,dark,medium,long,0,0
35,44.129524,0.301859,0.064508,3348.839,6141.748,2758.642,0.104239,,0.0000,-196.442795,160.061218,-94.530083,51.235004,-41.378559,-5.406878,-3.923004,-7.921188,5.293331,-12.147919,11.915749,-2.497099,3.355917,unpitched,mid,medium,long,4,4
36,44.431383,0.162540,0.133678,850.423,1218.779,1844.466,0.010384,,0.0000,-330.178711,186.125000,43.412289,31.866890,26.796909,8.635630,11.653536,14.783581,2.723381,1.290806,4.222748,-2.662747,-2.011697,unpitched,dark,loud,short,0,0
37,44.593923,0.104490,0.019757,2988.459,5340.234,2740.057,0.069043,,0.0000,-337.122559,140.732773,-81.888687,84.701263,20.261486,20.925547,14.836885,-0.779845,11.099207,6.363669,8.667793,-5.584116,1.758871,unpitched,mid,soft,short,3,3
38,44.698413,0.174150,0.133997,738.439,1098.193,1770.558,0.010406,,0.0000,-357.134186,180.736267,54.129997,39.120407,30.972862,10.679621,11.672776,11.970345,2.616780,2.954760,4.576630,-0.860265,-1.227524,unpitched,dark,loud,medium,0,0
39,44.872562,0.348299,0.094584,1546.408,2576.807,1876.889,0.045264,,0.0000,-300.580475,163.927048,-5.494917,44.277683,25.521215,2.136096,15.022213,6.402989,0.680941,4.210587,5.720140,-0.075562,3.572467,unpitched,dark,medium,long,0,0
40,45.220862,0.290249,0.064980,3334.103,6168.434,2718.736,0.099140,,0.0000,-200.878448,162.338684,-96.318634,50.657883,-40.168800,-6.050348,-4.541068,-8.692890,4.983938,-10.840791,12.744766,-2.378253,3.897797,unpitched,mid,medium,long,4,4
41,45.511111,0.441179,0.081386,1355.013,2452.024,1825.391,0.033103,,0.0000,-295.023071,181.560959,-5.404549,29.907013,25.775669,-6.962700,8.407986,4.446766,-5.318638,0.257209,1.440967,-1.411909,0.089901,unpitched,dark,medium,long,0,0
42,45.952290,0.371519,0.088696,1537.918,2632.923,1848.506,0.045025,,0.0000,-295.459930,171.776367,-7.012212,32.147678,18.040445,-0.697351,15.590903,6.392734,-1.951636,1.267989,4.258854,1.415977,5.782429,unpitched,dark,medium,long,0,0
43,46.323810,0.278639,0.071110,3319.485,6095.619,2640.118,0.103086,,0.0000,-185.218460,162.536591,-98.621315,50.484116,-46.156219,-6.095184,-6.003174,-9.484142,5.244273,-12.279802,12.947762,-1.030238,3.376640,unpitched,mid,medium,long,4,4
44,46.602449,0.185760,0.130684,1059.570,1850.589,1805.689,0.016889,,0.0000,-314.813446,189.381729,26.916222,29.005651,20.037138,1.487880,8.951962,12.338443,1.703401,-1.033627,4.747870,-1.608971,-0.085119,unpitched,dark,loud,medium,0,0
45,46.788209,0.104490,0.020915,3165.967,5790.278,3040.022,0.075732,,0.0000,-295.633911,147.840698,-74.520493,65.106003,5.702174,8.110676,7.448481,-6.539117,8.844678,5.172484,8.831788,-0.220299,7.369484,unpitched,mid,soft,short,3,3
46,46.892698,0.162540,0.145042,659.103,888.604,1586.969,0.007747,,0.0000,-339.386078,191.431976,53.905067,26.391729,23.168037,9.642268,9.910228,11.269536,2.805858,2.337668,5.711770,2.324433,0.891033,unpitched,dark,loud,short,0,0
47,47.055238,0.359909,0.093162,1519.204,2627.724,1769.698,0.045624,,0.0000,-287.053009,178.207977,-8.685143,30.287926,16.048285,-1.446384,15.589572,5.896801,-1.054096,1.895476,4.124020,1.178118,5.651074,unpitched,dark,medium,long,0,0
48,47.415147,0.278639,0.071776,3340.921,6119.736,2684.255,0.100215,,0.0000,-182.975662,159.668228,-94.837395,48.934795,-42.942848,-7.425387,-7.946476,-9.501248,0.415214,-9.936083,8.033505,-0.555814,0.429715,unpitched,mid,medium,long,4,4
49,47.693787,0.452789,0.081062,1313.129,2444.557,1694.180,0.033362,,0.0000,-290.457520,183.290817,-4.903809,25.008835,24.889812,-7.493144,7.551221,3.757452,-7.553018,-1.225596,0.716681,-1.063178,2.187102,unpitched,dark,medium,long,0,0
50,48.146576,0.348299,0.094414,1500.933,2506.187,1688.784,0.047269,,0.0000,-285.121338,178.199966,-9.966465,30.915895,15.235375,-1.706144,14.479423,4.266551,-2.812773,0.680980,3.956643,1.047834,6.767714,unpitched,dark,medium,long,0,0
