start_time,end_time,label,tempo_bpm
0.000000,0.731429,0,
0.731429,173.720091,1,97.51
173.720091,289.761814,2,97.51
289.761814,310.137324,1,101.33
310.137324,335.876644,3,101.33
335.876644,344.514467,0,101.33
