time,division,beat,phase
10.655057,32,16,6
10.731973,32,16,7
10.808889,4,17,0
10.808889,8,17,0
10.808889,16,17,0
10.808889,32,17,0
10.885805,32,17,1
10.962721,16,17,1
10.962721,32,17,2
11.039637,32,17,3
11.116553,8,17,1
11.116553,16,17,2
11.116553,32,17,4
11.193469,32,17,5
11.270385,16,17,3
11.270385,32,17,6
11.347302,32,17,7
11.424218,4,18,0
11.424218,8,18,0
11.424218,16,18,0
11.424218,32,18,0
11.501134,32,18,1
11.578050,16,18,1
11.578050,32,18,2
11.654966,32,18,3
11.731882,8,18,1
11.731882,16,18,2
11.731882,32,18,4
11.808798,32,18,5
11.885714,16,18,3
11.885714,32,18,6
11.962630,32,18,7
12.039546,4,19,0
12.039546,8,19,0
12.039546,16,19,0
12.039546,32,19,0
12.116463,32,19,1
12.193379,16,19,1
12.193379,32,19,2
12.270295,32,19,3
12.347211,8,19,1
12.347211,16,19,2
12.347211,32,19,4
12.424127,32,19,5
12.501043,16,19,3
12.501043,32,19,6
12.577959,32,19,7
12.654875,4,20,0
12.654875,8,20,0
12.654875,16,20,0
12.654875,32,20,0
12.731791,32,20,1
12.808707,16,20,1
12.808707,32,20,2
12.885624,32,20,3
12.962540,8,20,1
12.962540,16,20,2
12.962540,32,20,4
13.039456,32,20,5
13.116372,16,20,3
13.116372,32,20,6
13.193288,32,20,7
13.270204,4,21,0
13.270204,8,21,0
13.270204,16,21,0
13.270204,32,21,0
13.347120,32,21,1
13.424036,16,21,1
13.424036,32,21,2
13.500952,32,21,3
13.577868,8,21,1
13.577868,16,21,2
13.577868,32,21,4
13.654785,32,21,5
13.731701,16,21,3
13.731701,32,21,6
13.808617,32,21,7
13.885533,4,22,0
13.885533,8,22,0
13.885533,16,22,0
13.885533,32,22,0
13.962449,32,22,1
14.039365,16,22,1
14.039365,32,22,2
14.116281,32,22,3
14.193197,8,22,1
14.193197,16,22,2
14.193197,32,22,4
14.270113,32,22,5
14.347029,16,22,3
14.347029,32,22,6
14.423946,32,22,7
14.500862,4,23,0
14.500862,8,23,0
14.500862,16,23,0
14.500862,32,23,0
14.577778,32,23,1
14.654694,16,23,1
14.654694,32,23,2
14.731610,32,23,3
14.808526,8,23,1
14.808526,16,23,2
14.808526,32,23,4
14.885442,32,23,5
14.962358,16,23,3
14.962358,32,23,6
15.039274,32,23,7
15.116190,4,24,0
15.116190,8,24,0
15.116190,16,24,0
15.116190,32,24,0
15.193107,32,24,1
15.270023,16,24,1
15.270023,32,24,2
15.346939,32,24,3
15.423855,8,24,1
15.423855,16,24,2
15.423855,32,24,4
15.500771,32,24,5
15.577687,16,24,3
15.577687,32,24,6
15.654603,32,24,7
15.731519,4,25,0
15.731519,8,25,0
15.731519,16,25,0
15.731519,32,25,0
15.808435,32,25,1
15.885351,16,25,1
15.885351,32,25,2
15.962268,32,25,3
16.039184,8,25,1
16.039184,16,25,2
16.039184,32,25,4
16.116100,32,25,5
16.193016,16,25,3
16.193016,32,25,6
16.269932,32,25,7
16.346848,4,26,0
16.346848,8,26,0
16.346848,16,26,0
16.346848,32,26,0
16.425215,32,26,1
16.503583,16,26,1
16.503583,32,26,2
16.581950,32,26,3
16.660317,8,26,1
16.660317,16,26,2
16.660317,32,26,4
16.738685,32,26,5
16.817052,16,26,3
16.817052,32,26,6
16.895420,32,26,7
16.973787,4,27,0
16.973787,8,27,0
16.973787,16,27,0
16.973787,32,27,0
17.050703,32,27,1
17.127619,16,27,1
17.127619,32,27,2
17.204535,32,27,3
17.281451,8,27,1
17.281451,16,27,2
17.281451,32,27,4
17.358367,32,27,5
17.435283,16,27,3
17.435283,32,27,6
17.512200,32,27,7
17.589116,4,28,0
17.589116,8,28,0
17.589116,16,28,0
17.589116,32,28,0
17.666032,32,28,1
17.742948,16,28,1
17.742948,32,28,2
17.819864,32,28,3
17.896780,8,28,1
17.896780,16,28,2
17.896780,32,28,4
17.973696,32,28,5
18.050612,16,28,3
18.050612,32,28,6
18.127528,32,28,7
18.204444,4,29,0
18.204444,8,29,0
18.204444,16,29,0
18.204444,32,29,0
18.281361,32,29,1
18.358277,16,29,1
18.358277,32,29,2
18.435193,32,29,3
18.512109,8,29,1
18.512109,16,29,2
18.512109,32,29,4
18.589025,32,29,5
18.665941,16,29,3
