index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
20,5.410249,0.232200,0.058350,5191.367,11013.721,5329.655,0.081915,,0.0000,-339.161469,67.794579,-27.960831,21.255114,13.182838,23.282175,11.491865,-9.559771,11.698476,12.366433,10.746440,3.171778,1.989592,unpitched,bright,medium,medium,4,1,0,1,3,4,4,4
21,5.642449,0.069660,0.016607,9545.761,16811.279,6000.481,0.205357,,0.0000,-392.987579,-12.952257,-5.867007,11.169632,-1.818925,5.726012,0.544978,4.886881,9.068944,14.388812,1.360346,5.857633,-1.427969,unpitched,bright,soft,short,5,1,2,3,4,5,5,5
22,5.712109,0.336689,0.050649,3746.221,7439.004,4515.202,0.062533,,0.0000,-365.424957,115.321259,13.064322,6.860675,13.003091,8.230011,9.094067,11.678381,-7.398484,7.281260,3.439725,-4.019580,0.705850,unpitched,mid,medium,long,2,1,2,3,4,2,2,2
23,6.048798,0.162540,0.158531,1519.763,2945.742,3278.371,0.006999,,0.0000,-348.938843,116.749527,69.613251,58.845150,34.591454,24.132257,9.531305,4.512055,9.015944,15.226539,7.318026,1.029986,-5.690068,unpitched,dark,loud,short,1,1,0,1,1,1,1,1
24,6.211338,0.058050,0.049219,3398.225,5638.110,4028.524,0.010498,,0.0000,-386.459747,96.249611,39.017200,44.068058,27.602930,28.866442,21.103830,16.562065,11.232440,22.540121,13.924983,10.586525,5.587611,unpitched,mid,medium,short,3,0,1,2,2,3,3,3
25,6.269388,0.278639,0.065702,3702.323,7292.004,4454.053,0.047695,,0.0000,-318.782379,70.511322,-6.919037,49.549015,33.868061,39.590801,22.991371,2.610847,17.986534,17.966953,11.916677,4.724154,1.046260,unpitched,mid,medium,medium,4,1,0,1,3,4,4,4
26,6.548027,0.325079,0.106134,2136.638,3844.048,3629.848,0.010759,,0.0000,-373.306305,102.049469,53.812778,52.828384,34.779552,22.802130,11.279331,9.846597,14.734658,18.095503,8.205632,3.167630,1.089345,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
27,6.873107,0.197370,0.045628,3417.868,6445.605,4411.826,0.024577,,0.0000,-287.082520,124.487167,-5.330334,9.495990,19.608921,9.982048,3.301999,14.323822,1.254749,19.425793,11.286375,6.156913,7.630548,unpitched,mid,medium,medium,1,1,0,1,1,1,1,1
28,7.070476,0.429569,0.033191,6482.993,13584.051,5863.886,0.109478,,0.0000,-423.932312,47.729706,-7.176114,24.005987,11.230547,15.286700,7.669200,-3.255730,6.257487,5.873613,2.977003,1.354308,-1.834886,unpitched,bright,soft,long,5,1,2,3,4,5,5,5
29,7.500045,0.116100,0.084518,2669.634,5209.078,4169.600,0.014338,,0.0000,-403.359070,82.070244,61.251480,60.982235,33.602306,25.222811,21.614658,13.253077,4.758388,10.514817,4.128521,1.950828,3.729167,unpitched,dark,loud,short,1,1,0,1,1,1,1,1
30,7.616145,0.301859,0.098213,2507.675,5435.140,4112.605,0.014323,,0.0000,-386.646759,88.341072,57.174583,51.445572,29.751450,21.479910,11.621891,6.435507,10.039537,16.411619,8.225608,4.882170,0.130411,unpitched,dark,loud,medium,0,1,2,0,0,0,0,0
31,7.918005,0.371519,0.051833,3340.739,6798.436,4517.322,0.040848,,0.0000,-370.747314,83.361084,4.833790,46.508728,27.628136,31.582962,18.346455,0.264879,14.729343,16.062202,12.860282,7.547948,4.805904,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
32,8.289524,0.050000,0.143558,5505.844,13527.158,6199.103,0.077930,,0.0000,-281.774048,77.569016,51.752735,37.315044,7.423767,11.533097,5.128239,4.059553,-1.138050,0.477322,-7.749667,-3.889489,-10.241076,unpitched,bright,loud,short,5,1,2,3,4,5,5,5
33,8.324354,0.371519,0.093689,1921.050,2959.184,3491.771,0.012873,,0.0000,-381.250092,94.431068,59.136463,56.821739,36.327221,26.692842,15.462867,10.797750,14.760682,18.133047,9.372335,7.066701,3.583604,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
34,8.695873,0.301859,0.049720,5737.065,11913.444,5433.007,0.092412,,0.0000,-334.620819,51.866508,-17.985527,28.352522,18.482862,27.099121,16.877569,0.957062,12.871681,10.688001,5.898114,2.545011,0.519540,unpitched,bright,medium,medium,4,1,0,1,3,4,4,4
35,8.997732,0.150930,0.076915,2699.115,4911.227,3902.592,0.019118,,0.0000,-428.704895,113.959549,61.531425,48.943993,21.346968,13.619551,23.382460,14.901200,-5.209537,3.368880,2.752831,-5.562245,2.548197,unpitched,dark,medium,short,1,1,0,1,1,1,1,1
36,9.148662,0.104490,0.028732,4050.680,9003.032,5052.580,0.056250,,0.0000,-305.968201,126.484413,-6.185424,-2.456055,10.652912,1.925860,-1.850938,4.399848,-10.385247,4.299909,1.095897,-2.320836,0.540302,unpitched,mid,soft,short,1,1,0,1,1,1,1,1
37,9.253152,0.081270,0.019295,4418.659,9649.567,5379.136,0.039001,,0.0000,-377.552643,115.716164,-12.735825,-2.679540,20.161428,2.114526,1.461494,15.716445,-6.308388,3.166883,0.247620,-5.889443,0.784803,unpitched,mid,soft,short,3,0,1,2,2,3,3,3
38,9.334422,0.220590,0.127585,1773.820,2726.104,3320.153,0.012329,,0.0000,-359.234680,112.539230,55.505318,55.619457,37.334290,21.508017,4.949083,1.361700,13.280149,21.251131,13.016240,5.476892,-1.704202,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
39,9.555011,0.371519,0.049728,3661.512,7695.836,4764.144,0.042037,,0.0000,-378.787781,75.293915,3.178906,46.661938,29.017252,28.778416,16.293064,3.693947,17.456373,15.786263,11.019693,6.609553,4.453482,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
40,9.926531,0.050000,0.062431,6293.953,14345.420,6296.372,0.063184,,0.0000,-340.859344,67.125046,36.371086,34.485992,13.937184,14.217196,1.162207,-0.842438,-6.432430,-1.978267,-7.939169,-3.539236,-7.982418,unpitched,bright,medium,short,5,1,2,3,4,5,5,5
41,9.961361,0.325079,0.108439,2207.025,4068.290,3624.788,0.016484,,0.0000,-305.137268,120.533440,37.100311,36.104923,28.381369,17.193638,4.437983,6.493108,9.751321,20.056829,11.021501,3.663546,1.312891,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
42,10.286440,0.081270,0.033485,2199.672,4322.791,4011.628,0.006226,,0.0000,-350.724274,145.361862,9.773025,22.002823,26.522327,12.459163,7.163270,9.545211,4.661286,13.339952,9.361143,7.197812,5.412863,unpitched,dark,soft,short,3,0,1,2,2,3,3,3
43,10.367710,0.394739,0.037314,6092.258,13013.438,5789.579,0.088114,,0.0000,-405.807495,51.705311,-9.594053,24.355789,15.043126,25.598728,16.819660,-1.225968,9.537121,11.452782,7.561887,3.264502,1.125489,unpitched,bright,soft,long,5,1,2,3,4,5,5,5
44,10.762449,0.197370,0.058948,3368.531,7457.666,4780.242,0.026042,,0.0000,-432.822144,77.614700,53.624481,46.937378,25.809776,22.440668,20.006691,11.711746,3.621726,7.557446,1.419045,-0.497480,0.481705,unpitched,mid,medium,medium,1,1,0,1,1,1,1,1
45,10.959819,0.243810,0.116246,2359.121,4476.949,3842.862,0.014227,,0.0000,-362.526428,101.124382,59.181759,49.058327,25.297468,23.386499,16.830330,10.231036,10.652850,16.188631,7.565361,3.527257,-2.700878,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
46,11.203628,0.371519,0.049441,3781.176,8214.591,4827.827,0.046549,,0.0000,-383.747314,71.987869,4.563383,46.694401,26.832300,31.535238,21.021744,5.799849,16.469082,15.689664,11.465602,6.691033,4.363741,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
