time,division,beat,phase
6.809252,32,16,6
6.858594,32,16,7
6.907937,4,17,0
6.907937,8,17,0
6.907937,16,17,0
6.907937,32,17,0
6.957279,32,17,1
7.006621,16,17,1
7.006621,32,17,2
7.055964,32,17,3
7.105306,8,17,1
7.105306,16,17,2
7.105306,32,17,4
7.154649,32,17,5
7.203991,16,17,3
7.203991,32,17,6
7.253333,32,17,7
7.302676,4,18,0
7.302676,8,18,0
7.302676,16,18,0
7.302676,32,18,0
7.353469,32,18,1
7.404263,16,18,1
7.404263,32,18,2
7.455057,32,18,3
7.505850,8,18,1
7.505850,16,18,2
7.505850,32,18,4
7.556644,32,18,5
7.607438,16,18,3
7.607438,32,18,6
7.658231,32,18,7
7.709025,4,19,0
7.709025,8,19,0
7.709025,16,19,0
7.709025,32,19,0
7.758367,32,19,1
7.807710,16,19,1
7.807710,32,19,2
7.857052,32,19,3
7.906395,8,19,1
7.906395,16,19,2
7.906395,32,19,4
7.955737,32,19,5
8.005079,16,19,3
8.005079,32,19,6
8.054422,32,19,7
8.103764,4,20,0
8.103764,8,20,0
8.103764,16,20,0
8.103764,32,20,0
8.154558,32,20,1
8.205351,16,20,1
8.205351,32,20,2
8.256145,32,20,3
8.306939,8,20,1
8.306939,16,20,2
8.306939,32,20,4
8.357732,32,20,5
8.408526,16,20,3
8.408526,32,20,6
8.459320,32,20,7
8.510113,4,21,0
8.510113,8,21,0
8.510113,16,21,0
8.510113,32,21,0
8.559456,32,21,1
8.608798,16,21,1
8.608798,32,21,2
8.658141,32,21,3
8.707483,8,21,1
8.707483,16,21,2
8.707483,32,21,4
8.756825,32,21,5
8.806168,16,21,3
8.806168,32,21,6
8.855510,32,21,7
8.904853,4,22,0
8.904853,8,22,0
8.904853,16,22,0
8.904853,32,22,0
8.955646,32,22,1
9.006440,16,22,1
9.006440,32,22,2
9.057234,32,22,3
9.108027,8,22,1
9.108027,16,22,2
9.108027,32,22,4
9.158821,32,22,5
9.209615,16,22,3
9.209615,32,22,6
9.260408,32,22,7
9.311202,4,23,0
9.311202,8,23,0
9.311202,16,23,0
9.311202,32,23,0
9.361995,32,23,1
9.412789,16,23,1
9.412789,32,23,2
9.463583,32,23,3
9.514376,8,23,1
9.514376,16,23,2
9.514376,32,23,4
9.565170,32,23,5
9.615964,16,23,3
9.615964,32,23,6
9.666757,32,23,7
9.717551,4,24,0
9.717551,8,24,0
9.717551,16,24,0
9.717551,32,24,0
9.765442,32,24,1
9.813333,16,24,1
9.813333,32,24,2
9.861224,32,24,3
9.909116,8,24,1
9.909116,16,24,2
9.909116,32,24,4
9.957007,32,24,5
10.004898,16,24,3
10.004898,32,24,6
10.052789,32,24,7
10.100680,4,25,0
10.100680,8,25,0
10.100680,16,25,0
10.100680,32,25,0
10.151474,32,25,1
10.202268,16,25,1
10.202268,32,25,2
10.253061,32,25,3
10.303855,8,25,1
10.303855,16,25,2
10.303855,32,25,4
10.354649,32,25,5
10.405442,16,25,3
10.405442,32,25,6
10.456236,32,25,7
10.507029,4,26,0
10.507029,8,26,0
10.507029,16,26,0
10.507029,32,26,0
10.556372,32,26,1
10.605714,16,26,1
10.605714,32,26,2
10.655057,32,26,3
10.704399,8,26,1
10.704399,16,26,2
10.704399,32,26,4
10.753741,32,26,5
10.803084,16,26,3
10.803084,32,26,6
10.852426,32,26,7
10.901769,4,27,0
10.901769,8,27,0
10.901769,16,27,0
10.901769,32,27,0
10.952562,32,27,1
11.003356,16,27,1
11.003356,32,27,2
11.054150,32,27,3
11.104943,8,27,1
