index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
19,16.637098,0.313469,0.005263,3254.601,4208.203,4006.542,0.085118,,0.0000,-431.090881,134.230820,-67.632881,-30.525019,20.762049,-13.850638,-14.125752,-8.531794,5.042942,-5.318671,-4.194739,-9.484895,-3.947927,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
20,16.950567,0.267029,0.005073,4690.142,7257.626,3903.049,0.139776,,0.0000,-395.139832,79.461449,-74.163231,23.667656,-24.481827,-11.426133,6.985928,-24.488253,-3.864922,-0.998499,3.439086,-3.351181,-0.845582,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
21,17.217596,0.290249,0.004946,5013.743,7621.098,3901.940,0.163893,,0.0000,-403.191467,66.256706,-76.084755,30.065084,-20.842411,-15.519743,2.044922,-20.427685,-7.325647,-4.720358,6.853144,-1.134284,0.295809,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
22,17.507846,0.267029,0.007417,7724.942,11736.493,4288.233,0.314779,1413.144,0.0103,-383.698517,5.416306,-39.835934,21.414930,-41.897717,19.347086,-20.774401,11.206574,-14.464443,-13.387647,3.178017,1.248671,2.562171,unpitched,bright,soft,medium,5,1,1,2,3,4,5,6,7
23,17.774875,1.000000,0.012255,10427.468,14138.404,4453.243,0.519004,230.420,0.0289,-417.607758,-36.713108,-19.444790,-0.876552,-18.238745,22.010036,-24.705639,7.130959,1.112124,-8.172157,-13.391271,18.881084,-4.607725,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
24,19.272562,0.301859,0.006301,4860.578,11563.330,5265.271,0.205548,167.695,0.0106,-429.396027,99.583893,-9.751195,-42.852200,-39.436401,19.660486,-7.267433,0.692146,5.644660,-8.694575,-10.151020,14.414102,-14.023449,unpitched,bright,soft,medium,5,1,1,2,3,3,5,5,5
25,19.574422,0.534059,0.005485,3821.052,7164.142,4405.942,0.136334,,0.0000,-409.908356,112.519394,-56.773479,-25.135664,5.055647,-0.596591,-25.733673,-7.018038,9.406278,-8.753234,-11.108460,2.162542,-16.381870,unpitched,bright,soft,long,5,1,1,2,3,3,4,5,5
26,20.108481,0.290249,0.004972,4742.672,7502.665,4020.019,0.147611,,0.0000,-401.727966,73.351280,-69.231186,23.404398,-23.466322,-12.569961,3.428398,-20.663931,-4.902220,3.132742,-1.272297,-3.109852,-6.435344,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
27,20.398730,0.243810,0.005456,5067.394,7607.373,3855.763,0.174781,,0.0000,-402.893127,62.316063,-69.704445,37.693676,-24.758583,-19.417364,2.736765,-18.294456,-5.537863,-4.650282,3.567988,4.311339,-0.625813,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
28,20.642540,1.000000,0.013116,9482.043,13252.325,4358.043,0.442826,237.156,0.0218,-399.514465,-21.240219,-19.706312,12.540232,-28.484409,13.687339,-24.945532,14.530074,-0.695012,-15.247025,-12.249217,15.651541,0.237696,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
29,22.500136,0.301859,0.007853,4090.899,10782.337,5216.734,0.149771,,0.0000,-426.869781,122.980728,27.491436,-25.411152,-52.938808,1.140064,-16.704191,3.712528,19.857149,-4.437062,-11.482344,14.864607,-12.398665,unpitched,bright,soft,medium,5,1,1,2,3,3,5,5,5
30,22.801995,0.301859,0.005700,3890.736,7375.521,4450.973,0.119448,,0.0000,-407.866547,109.496895,-46.266792,-4.788572,7.481730,-5.591864,-30.153475,-7.011167,10.475038,-5.018478,-3.719871,12.894603,-6.590353,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
31,23.103855,0.313469,0.005559,3338.140,5750.134,4344.082,0.097307,132.335,0.0104,-419.735901,136.651489,-37.115089,-35.144520,4.613509,18.663513,-16.300251,-19.289610,4.450524,-8.623180,-3.708297,4.444701,-13.801453,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
32,23.417324,0.603719,0.004907,4607.524,7191.277,4015.181,0.154914,,0.0000,-399.769592,86.419884,-66.236145,24.992418,-13.443264,-13.950189,8.331637,-12.963603,-9.554908,-5.265261,2.943790,-3.008543,1.011571,unpitched,bright,soft,long,5,1,1,2,3,3,4,5,5
33,24.021043,0.301859,0.008016,7812.423,11979.639,4506.272,0.344003,231.188,0.0126,-381.794769,14.713866,-28.625393,18.108055,-24.033415,24.178696,-25.013620,18.013418,-18.198923,-16.295244,3.569629,-1.835095,-1.032135,unpitched,bright,soft,medium,5,1,1,2,3,4,5,6,7
34,24.322902,1.000000,0.003640,6880.547,10471.572,4403.586,0.283192,,0.0000,-444.463989,19.517735,-46.965256,33.317127,-32.749630,10.522353,2.721589,0.557543,14.645883,-3.850321,-4.984826,-1.526942,5.780271,unpitched,bright,soft,long,5,1,1,2,3,3,5,5,7
35,27.260227,0.394739,0.178254,1571.749,2893.447,2963.422,0.024944,65.785,0.0100,-303.323151,148.994629,36.504898,41.064636,32.854729,28.175894,5.865181,27.114922,6.740997,0.273747,2.739383,1.845512,1.626768,unpitched,mid,medium,long,0,0,0,0,0,0,1,1,1
36,27.654966,0.290249,0.103646,2747.142,5342.719,3866.014,0.029203,100.289,0.0100,-298.969086,132.551010,44.416321,41.418686,18.278053,39.325100,-0.446958,16.450438,1.796728,7.838961,4.650889,2.836481,1.859562,unpitched,bright,soft,medium,1,0,0,1,2,2,3,3,3
37,27.945215,0.104490,0.186311,921.519,1311.372,2394.751,0.006885,,0.0000,-301.659607,192.560425,58.904949,42.942337,27.701517,18.555241,13.806569,11.800847,3.324414,-4.028669,-0.917893,-1.666024,-4.516765,unpitched,dark,medium,short,0,0,0,0,0,0,0,0,0
