start_time,end_time,label,tempo_bpm
0.000000,27.701406,0,107.67
27.701406,66.919909,1,152.00
66.919909,68.916825,2,
68.916825,79.725714,1,147.66
79.725714,121.695782,2,152.00
121.695782,130.914104,1,152.00
130.914104,181.382676,2,152.00
181.382676,182.311474,1,
182.311474,191.111837,3,152.00
