start_time,end_time,tempo_bpm
0.000000,146.842993,132.51
146.842993,151.080635,99.38
151.080635,159.149569,132.51
159.149569,166.127166,99.38
166.127166,192.110295,136.00
192.110295,196.600000,161.50
