index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
20,33.146485,0.476009,0.003639,2654.680,6240.015,5019.598,0.023565,,0.0000,-659.279541,123.309837,51.758190,32.556141,20.346060,6.498615,-4.710768,-9.789107,-5.591349,-7.940936,-5.144140,-12.134070,1.254291,unpitched,mid,soft,long,5,1,1,3,4,4,5,5
21,33.622494,0.592109,0.003156,2670.350,6446.710,5163.575,0.014273,,0.0000,-639.286072,112.023163,50.513893,44.046806,20.393002,11.852181,2.261135,-2.617962,0.939315,-3.769208,-4.654111,-18.267019,5.124364,unpitched,mid,soft,long,4,1,1,3,4,5,4,4
22,34.214603,1.000000,0.001282,3471.076,9615.936,5790.776,0.025211,,0.0000,-661.628967,108.824677,53.181499,44.530785,21.098663,15.323113,9.124743,-1.825117,7.367455,5.524770,4.350612,-8.167858,12.968042,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
23,35.433651,1.000000,0.000539,5135.176,13831.494,6700.567,0.056921,,0.0000,-697.713013,91.581306,47.408501,37.940601,24.578022,11.217993,5.898665,-7.382156,4.343414,1.097175,-4.748303,-5.832684,11.747147,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
24,37.778866,0.650159,0.000490,5987.450,15453.662,6910.078,0.100654,,0.0000,-650.469421,87.267929,35.838730,26.835176,15.382259,0.792075,-4.559237,-3.256130,2.945487,-5.830163,-2.139979,-8.653306,2.574369,unpitched,bright,soft,long,4,1,1,3,4,5,4,4
25,38.429025,1.000000,0.001039,4917.439,13691.652,6529.067,0.041240,,0.0000,-648.721436,87.301788,40.108593,32.350010,11.444075,0.197383,1.957508,-8.311206,-3.863164,-9.611582,-9.741212,-10.235496,-6.294919,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
26,40.042812,1.000000,0.001642,4035.420,12066.267,6309.923,0.020373,,0.0000,-670.178162,91.288712,44.117226,32.013725,25.461538,5.346948,2.800996,-8.520264,-0.018411,-7.139040,-13.566463,-15.234771,-9.985785,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
27,41.586939,0.394739,0.000982,4449.497,10939.482,5877.070,0.042480,,0.0000,-635.328186,96.901855,26.962450,36.116749,9.059017,-8.209985,-8.430017,-14.984034,-10.664702,-11.985081,-8.050524,-10.443394,-2.646704,unpitched,bright,soft,long,0,1,1,1,0,0,0,0
28,41.981678,0.371519,0.024047,6888.675,11832.169,4958.811,0.224032,,0.0000,-319.577606,-5.574657,-60.600563,17.068106,12.484916,18.431692,7.399092,-10.474235,5.717276,5.040672,-4.034559,-0.325404,-11.153008,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
29,42.353197,0.255420,0.010846,2908.637,6713.678,4265.159,0.044158,,0.0000,-372.347870,157.158371,11.133075,2.863689,-8.396729,6.836229,-3.651897,-0.218319,-5.237966,5.933266,-5.220594,6.574522,-2.480305,unpitched,mid,soft,medium,0,1,1,1,0,0,0,0
30,42.608617,0.290249,0.030271,5082.455,12286.349,5718.151,0.094558,,0.0000,-285.680939,105.372002,32.200958,-8.338053,-28.679731,2.491014,-13.359377,11.151058,-5.005041,-3.854381,-10.749015,4.952522,-5.379362,unpitched,bright,soft,medium,0,1,1,1,0,0,0,0
31,42.898866,0.255420,0.019817,3883.945,7002.036,4171.837,0.105936,,0.0000,-344.625397,121.337814,-32.640038,37.540215,-8.562002,-8.851087,3.534716,-16.421907,11.550113,-9.405161,10.024796,-0.227021,3.489750,unpitched,bright,soft,medium,0,1,1,1,0,0,0,0
32,43.154286,0.069660,0.069501,4862.890,7668.896,2715.022,0.172224,,0.0000,-190.541504,70.485970,-114.909767,76.699104,-21.788559,0.890993,1.774420,-18.097939,11.050925,-15.893260,13.651225,3.951116,-0.922820,unpitched,bright,soft,short,6,1,1,3,4,5,6,6
33,43.223946,0.208980,0.182485,1249.757,1788.452,3207.891,0.003418,,0.0000,-356.042786,104.156647,39.940857,63.937912,20.824715,18.305676,19.915945,14.072246,13.662846,13.645543,13.376459,12.265510,7.105510,unpitched,dark,loud,medium,2,1,1,1,2,2,2,2
34,43.432925,0.092880,0.075382,5033.623,7847.656,3091.323,0.183702,,0.0000,-198.779373,73.171356,-79.465973,93.791023,-22.714226,17.925776,2.087920,-11.093082,9.347328,-7.988813,11.039648,-0.461069,5.669788,unpitched,bright,medium,short,1,0,0,0,1,1,1,1
35,43.525805,0.174150,0.207123,1316.850,3093.604,2721.761,0.004687,,0.0000,-305.716400,133.900726,29.345116,66.002502,8.557670,11.359767,21.614973,-0.450759,19.456806,8.652594,6.732005,10.895281,3.746102,unpitched,dark,loud,medium,2,1,1,1,2,2,2,2
36,43.699955,0.050000,0.025125,3817.450,7614.141,3856.564,0.043066,,0.0000,-348.264557,107.680931,-20.395271,85.650986,-14.758947,3.345507,30.316608,-20.721035,17.650684,2.960645,15.549741,9.453842,-1.786427,unpitched,bright,soft,short,4,1,1,3,4,5,4,4
37,43.746395,0.050000,0.041249,5330.791,7803.633,2823.199,0.175488,,0.0000,-250.697418,52.920666,-96.747215,84.244797,-15.492114,-7.899329,11.503555,-18.489147,15.907936,-7.306991,12.841319,11.967076,-5.716636,unpitched,bright,soft,short,6,1,1,3,4,5,6,6
38,43.792834,0.476009,0.126309,2890.586,5694.507,3407.466,0.066243,,0.0000,-222.779251,127.920235,-20.535507,40.129951,-1.063800,6.200674,12.640616,-1.126562,13.197884,8.127852,4.224431,6.899318,0.681293,unpitched,mid,medium,long,4,1,1,3,4,5,4,4
39,44.268844,0.127710,0.290582,552.786,669.324,1790.180,0.003621,,0.0000,-321.543365,168.611023,57.037449,54.768436,32.586826,28.076166,15.845211,11.162360,11.880120,7.682278,6.815736,8.131692,6.783806,unpitched,dark,loud,short,1,0,0,0,1,1,1,1
40,44.396553,0.127710,0.243529,2304.073,5530.444,4403.042,0.003255,,0.0000,-264.111664,87.902550,30.257532,53.702381,28.897478,28.366285,13.243850,23.855637,20.605276,13.233531,8.475617,15.687206,4.240953,unpitched,mid,loud,short,1,0,0,0,1,1,1,1
41,44.524263,0.197370,0.056851,4363.998,8356.079,3774.104,0.138509,,0.0000,-169.290009,105.791061,-54.768509,50.984821,-29.073076,20.455626,-8.956486,-4.425976,8.662038,-4.164647,4.226616,-6.741409,0.689631,unpitched,bright,soft,medium,2,1,1,1,2,2,2,2
